T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
4,353,149149,75,4998821,0,0,1146,69241,0,6971,24696,1685222
2,202,163224,57,4484505,0,44,911,83881,0,21902,24292,1688135
1,160,200694,139,7139461,0,0,816,80370,0,9740,36271,2730572
0,65,141423,86,4229600,0,0,1122,133560,0,6485,32405,1998513
0,0,58013,43,2503196,0,0,580,88116,0,4361,13962,1180179
0,68,38690,29,2235936,0,0,273,52511,0,1562,7334,1035479
0,98,57681,65,2696657,0,0,485,58941,0,2455,14942,1248916
2,99,63660,39,2388231,0,0,535,48272,0,2211,11784,969307
0,57,115889,72,3234723,0,0,1823,61644,0,5398,22120,1449086
0,21,55180,35,1549326,0,0,419,109008,0,1250,12283,952027
2,1,57637,25,1911809,0,0,652,54489,0,866,9533,921332
0,0,64733,35,1672635,0,0,517,50463,0,3548,9567,874464
0,0,54092,30,1762333,0,0,527,57969,0,2590,13008,894305
0,0,47855,32,1644344,0,0,637,87030,0,2656,7417,890420
2,23,44074,34,1631275,0,0,383,54240,0,5604,10755,1020338
0,223,19830,15,792674,0,0,729,47075,0,512,5661,516157
0,144,28855,25,968958,0,0,493,32408,0,1094,7481,700232
3,213,46069,35,1959476,0,0,644,94291,0,190,8597,799548
0,166,44099,42,1678100,0,0,537,56202,0,6788,9822,797174
0,179,50146,23,1377754,0,0,1680,88297,0,2115,15507,945969
0,145,53554,33,1642788,0,0,671,53333,0,3563,13355,932270
0,55,41505,27,1719442,0,0,592,44993,0,1343,10435,894208
