timestamp,open,high,low,close,volume
16/06/2005,93.8,94.42,93.57,94.34,1370400
15/06/2005,93.39,93.87,93.33,93.87,2000200
14/06/2005,94.05,94.16,93.57,93.7,2139300
13/06/2005,94.48,94.53,94.17,94.32,1617700
10/06/2005,95.55,95.55,94.86,94.89,1464800
09/06/2005,95.67,96.01,95.43,95.97,612700
08/06/2005,96.31,96.45,96.05,96.05,1272400
07/06/2005,96.47,96.58,96.05,96.51,1503300
06/06/2005,95.5,95.88,95.35,95.75,1088700
03/06/2005,96.9,97,95.2,95.25,5559000
02/06/2005,95.73,96.19,95.73,96.04,1854100
01/06/2005,95.2,95.84,95.19,95.81,3823200
31/05/2005,94.22,95.05,94.22,95,1979000
27/05/2005,93.74,93.98,93.54,93.84,650600
26/05/2005,93.59,94.07,93.59,93.74,978300
25/05/2005,94.59,94.65,93.73,93.77,1923300
24/05/2005,94.53,94.65,94.18,94.43,1695400
23/05/2005,93.6,94.23,93.57,94.17,905600
20/05/2005,93.25,93.51,93.21,93.44,806800
19/05/2005,93.7,93.7,93.28,93.33,948800
18/05/2005,93.7,93.8,93.34,93.57,1092300
17/05/2005,92.96,93.19,92.9,92.95,856300
16/05/2005,93.04,93.07,92.68,92.69,825000
13/05/2005,92.71,93.02,92.57,92.8,1698100
12/05/2005,92,92.47,91.72,92.44,657000
11/05/2005,92.14,92.52,91.99,92.08,1058700
10/05/2005,91.36,91.8,91.34,91.8,495500
09/05/2005,91.01,91.24,91,91.15,327800
06/05/2005,90.93,91.2,90.81,91.06,850600
05/05/2005,91.3,91.84,91.21,91.74,1757900
04/05/2005,91.45,91.72,91.05,91.53,2212500
03/05/2005,92.07,92.54,91.92,92.34,1890000
02/05/2005,92.15,92.26,91.71,92.09,1358200
29/04/2005,92.57,92.94,92.22,92.44,1450800
28/04/2005,92.05,92.65,91.95,92.6,1062000
27/04/2005,92.05,92.2,91.8,91.92,684900
26/04/2005,91.99,92.05,91.34,91.6,549300
25/04/2005,91.66,91.82,91.51,91.74,818300
22/04/2005,91.27,91.58,91.09,91.47,976300
